Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
1,3015,323,58.48,0,23.37
2,5198,109,22.70,5,23.37
3,5829,344,64.67,10,23.26
4,6778,707,320.63,15,23.15
5,8224,217,37.04,20,22.72
6,9159,608,202.86,25,23.15
7,9720,71,19.06,30,23.15
8,10518,57,16.93,35,22.83
9,10561,177,30.25,40,23.15
10,11183,55,16.58,45,22.94
11,11364,294,51.51,50,23.15
12,12363,115,23.18,55,23.05
13,12712,88,20.96,60,23.15
14,13693,88,20.96,65,23.15
15,14287,263,45.37,70,23.15
16,16541,71,19.06,75,23.48
17,16898,70,18.93,80,23.37
18,16916,63,17.91,85,23.05
19,17048,79,20.03,90,23.15
20,17169,384,80.08,95,23.15
